0,1,2
100,[13.01666499  4.84090541 11.84698492  1.6180807  -1.78370087 -3.35954685],0.5565
200,[6.2710895  5.13523723 6.96526207 3.02347124 1.46380547 1.52886706],0.6005
300,[6.2688291  5.13147786 6.96765808 3.02548707 1.46269773 1.53047066],0.601
400,[5.94981217 4.99995318 6.89210097 3.00762894 1.3768936  1.53447414],0.6185
500,[ 6.23740809  9.3705314   4.5959864   3.15161698 -0.29135157  0.31587222],0.683
600,[ 6.68051998  9.58129059  4.74818666  2.93515451 -0.36224799  0.55252749],0.681
700,[ 6.381146    9.42573344  4.72462789  3.07342073 -0.35563031  0.42852553],0.696
800,[3.21788021 9.39791767 4.33489339 3.32740225 0.08196119 0.45712975],0.672
900,[3.2180632  9.39835109 4.33411381 3.32724292 0.0815662  0.45702764],0.672
1000,[1.60860577 5.90834007 6.43847897 3.13721595 0.83939961 1.73486228],0.6025
